,Play,ActSceneLine,Player
3,Henry IV,1.1.1,KING HENRY IV
4,Henry IV,1.1.2,KING HENRY IV
5,Henry IV,1.1.3,KING HENRY IV
6,Henry IV,1.1.4,KING HENRY IV
7,Henry IV,1.1.5,KING HENRY IV
8,Henry IV,1.1.6,KING HENRY IV
9,Henry IV,1.1.7,KING HENRY IV
10,Henry IV,1.1.8,KING HENRY IV
11,Henry IV,1.1.9,KING HENRY IV
12,Henry IV,1.1.10,KING HENRY IV
13,Henry IV,1.1.11,KING HENRY IV
14,Henry IV,1.1.12,KING HENRY IV
15,Henry IV,1.1.13,KING HENRY IV
16,Henry IV,1.1.14,KING HENRY IV
17,Henry IV,1.1.15,KING HENRY IV
18,Henry IV,1.1.16,KING HENRY IV
19,Henry IV,1.1.17,KING HENRY IV
20,Henry IV,1.1.18,KING HENRY IV
21,Henry IV,1.1.19,KING HENRY IV
22,Henry IV,1.1.20,KING HENRY IV
23,Henry IV,1.1.21,KING HENRY IV
24,Henry IV,1.1.22,KING HENRY IV
25,Henry IV,1.1.23,KING HENRY IV
26,Henry IV,1.1.24,KING HENRY IV
27,Henry IV,1.1.25,KING HENRY IV
28,Henry IV,1.1.26,KING HENRY IV
29,Henry IV,1.1.27,KING HENRY IV
30,Henry IV,1.1.28,KING HENRY IV
31,Henry IV,1.1.29,KING HENRY IV
32,Henry IV,1.1.30,KING HENRY IV
33,Henry IV,1.1.31,KING HENRY IV
34,Henry IV,1.1.32,KING HENRY IV
35,Henry IV,1.1.33,KING HENRY IV
36,Henry IV,1.1.34,WESTMORELAND
37,Henry IV,1.1.35,WESTMORELAND
38,Henry IV,1.1.36,WESTMORELAND
39,Henry IV,1.1.37,WESTMORELAND
40,Henry IV,1.1.38,WESTMORELAND
41,Henry IV,1.1.39,WESTMORELAND
42,Henry IV,1.1.40,WESTMORELAND
43,Henry IV,1.1.41,WESTMORELAND
44,Henry IV,1.1.42,WESTMORELAND
45,Henry IV,1.1.43,WESTMORELAND
46,Henry IV,1.1.44,WESTMORELAND
47,Henry IV,1.1.45,WESTMORELAND
48,Henry IV,1.1.46,WESTMORELAND
49,Henry IV,1.1.47,KING HENRY IV
50,Henry IV,1.1.48,KING HENRY IV
51,Henry IV,1.1.49,WESTMORELAND
52,Henry IV,1.1.50,WESTMORELAND
53,Henry IV,1.1.51,WESTMORELAND
54,Henry IV,1.1.52,WESTMORELAND
55,Henry IV,1.1.53,WESTMORELAND
56,Henry IV,1.1.54,WESTMORELAND
57,Henry IV,1.1.55,WESTMORELAND
58,Henry IV,1.1.56,WESTMORELAND
59,Henry IV,1.1.57,WESTMORELAND
60,Henry IV,1.1.58,WESTMORELAND
61,Henry IV,1.1.59,WESTMORELAND
62,Henry IV,1.1.60,WESTMORELAND
63,Henry IV,1.1.61,WESTMORELAND
64,Henry IV,1.1.62,KING HENRY IV
65,Henry IV,1.1.63,KING HENRY IV
66,Henry IV,1.1.64,KING HENRY IV
67,Henry IV,1.1.65,KING HENRY IV
68,Henry IV,1.1.66,KING HENRY IV
69,Henry IV,1.1.67,KING HENRY IV
70,Henry IV,1.1.68,KING HENRY IV
71,Henry IV,1.1.69,KING HENRY IV
72,Henry IV,1.1.70,KING HENRY IV
73,Henry IV,1.1.71,KING HENRY IV
74,Henry IV,1.1.72,KING HENRY IV
75,Henry IV,1.1.73,KING HENRY IV
76,Henry IV,1.1.74,KING HENRY IV
77,Henry IV,1.1.75,KING HENRY IV
78,Henry IV,1.1.76,WESTMORELAND
79,Henry IV,1.1.77,WESTMORELAND
80,Henry IV,1.1.78,KING HENRY IV
81,Henry IV,1.1.79,KING HENRY IV
82,Henry IV,1.1.80,KING HENRY IV
83,Henry IV,1.1.81,KING HENRY IV
84,Henry IV,1.1.82,KING HENRY IV
85,Henry IV,1.1.83,KING HENRY IV
86,Henry IV,1.1.84,KING HENRY IV
87,Henry IV,1.1.85,KING HENRY IV
88,Henry IV,1.1.86,KING HENRY IV
89,Henry IV,1.1.87,KING HENRY IV
90,Henry IV,1.1.88,KING HENRY IV
91,Henry IV,1.1.89,KING HENRY IV
92,Henry IV,1.1.90,KING HENRY IV
93,Henry IV,1.1.91,KING HENRY IV
94,Henry IV,1.1.92,KING HENRY IV
95,Henry IV,1.1.93,KING HENRY IV
96,Henry IV,1.1.94,KING HENRY IV
97,Henry IV,1.1.95,KING HENRY IV
98,Henry IV,1.1.96,WESTMORELAND
99,Henry IV,1.1.97,WESTMORELAND
100,Henry IV,1.1.98,WESTMORELAND
101,Henry IV,1.1.99,WESTMORELAND
102,Henry IV,1.1.100,KING HENRY IV
103,Henry IV,1.1.101,KING HENRY IV
104,Henry IV,1.1.102,KING HENRY IV
